Petal,Rarity,Image,ID,Count,Stack,Damage,Health,Primary Respawn,Usage Respawn,DPS,Special Stat Name,Special Stat 1,Special Stat 2,Special Stat 3,Attack Action,Defend Action,Notes,Mob Drops,Modifiable Stats,Formulas,,,,,
Air,Common,,48,N/A,No,N/A,N/A,N/A,N/A,N/A,Extra Radius,8,N/A,,None,None,"Does not orbit the user.
Increases flower hitbox and petal radius (range is not increased relative to the flower). The flower will not grow if near a wall. Disables flower collisions for the user near portals. Decreases the pulling effect from super sandstorms.",Bubble,,1,1,1,#VALUE!,#VALUE!,8
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,16,,,,,,,,2,2,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,24,,,,,,,,3,3,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,32,,,,,,,,4,4,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,40,,,,,,,,5,5,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,48,,,,,,,,6,6,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,56,,,,,,,,,7,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,64,,,,,,,,,8,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,72,,,,,,,Enemy Armor,,9,1,#VALUE!,#VALUE!,
Amulet,Common,,70,1,Yes,0,10,2,N/A,0,Overheal Conversion,5%,N/A,,None,Close,"Any health healed over maximum gets converted to shield. Stacks additively. If Roses or Dahlias are equipped, they will comtinue to heal at full HP.",Termite Egg,0,,,0,0,1,
,Unusual,,,1,,0,30,2,N/A,0,,10%,,,,,,,,,,0,0,1,
,Rare,,,1,,0,90,2,N/A,0,,15%,,,,,,,,,,0,0,1,
,Epic,,,1,,0,270,2,N/A,0,,20%,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,810,2,N/A,0,,25%,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,2430,2,N/A,0,,30%,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,7290,2,N/A,0,,35%,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,0,21870,2,N/A,0,,40%,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,0,65610,2,N/A,0,,45%,,,,,,,,,,1,26.244,26.244,
Ankh,Common,,66,1,Yes,0,10,0.0,0.5,0,N/A,,,,Far - Lays down,Close - Lays down,"Large hitbox. Only works when laid down. Upon being destroyed or the petal being unequipped, the flower teleports back to where the petal was and the petal goes on respawn.","Beetle (Normal)
Beetle (Nazar)",,1,,0,0,1,
,Unusual,,,1,,0,30,0.0,0.5,0,,,,,,,,,,2,,0,0,1,
,Rare,,,1,,0,90,0.0,0.5,0,,,,,,,,,,3,,0,0,1,
,Epic,,,1,,0,270,0.0,0.5,0,,,,,,,,,,4,,0,0,1,
,Legendary,,,1,,0,810,0.0,0.5,0,,,,,,,,,,5,,0,0,1,
,Mythic,,,1,,0,2430,0.0,0.5,0,,,,,,,,,,6,,0,0,1,
,Ultra,,,1,,0,7290,0.0,0.5,0,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,0,21870,0.0,0.5,0,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,0,65610,0.0,0.5,0,,,,,,,,,Reload Skills,,,1,26.244,26.244,
Antennae,Common,,17,N/A,No*,N/A,N/A,N/A,N/A,N/A,Extra Vision,11.1%,N/A,,None,None,"Does not orbit the user.
Appears on the user's head. This change is visible in the top left UI. Grants a bonus to the user's FoV. Does not stack with Antennae talent. Does not stack with Mecha Antennae, assumes the higher FoV when stacked with it anyways","Hornet
Roach
Wasp",0,3,3,1,#VALUE!,#VALUE!,0.16
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,17.6%,,,,,,,1,9,9,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,25.0%,,,,,,,,27,27,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,33.3%,,,,,,,,81,81,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,42.9%,,,,,,,,243,243,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,100.0%,,,,,,,,729,729,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,185.7%,,,,,,,,2187,2187,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,400.0%,,,,,,,,6561,6561,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,900.0%,,,,,,,,,,1,#VALUE!,#VALUE!,
Mecha Antennae,Common,,100,N/A,No*,N/A,N/A,N/A,N/A,N/A,Extra Vision,7.8%,Mecha Missile Homing,Common,None,None,"Does not orbit the user.
Appears on the user's head. This change is visible in the top left UI. Grants a bonus to the user's FoV. Allows Mecha missiles of the same rarity to home at opponents. Does not stack with Antennae talent. Does not stack with Mecha Antennae, assumes the higher FoV when stacked with it anyways",Mecha Wasp,0,3,3,1,#VALUE!,#VALUE!,0.16
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,12.4%,,Unusual,,,,,1,9,9,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,17.5%,,Rare,,,,,,27,27,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,23.3%,,Epic,,,,,,81,81,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,30.0%,,Legendary,,,,,,243,243,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,70.0%,,Mythic,,,,,,729,729,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,130.0%,,Ultra,,,,,,2187,2187,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,280.0%,,Super,,,,,,6561,6561,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,630.0%,,Unique,,,,,,,,1,#VALUE!,#VALUE!,
Bandage,Common,,103,N/A,No,N/A,N/A,N/A,N/A,N/A,Ressurection Duration (seconds);,1,N/A,,N/A,N/A,"Upon death, allows you to live and remain invulnerable after a set amount of time. After that time is up, you instantly die, and you cannot be revived for 30 seconds.",Beetle (Zombie),,,,,,,
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,1.4,,,,,,,,,,,,,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,2.0,,,,,,,,,,,,,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,2.7,,,,,,,,,,,,,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,3.8,,,,,,,,,,,,,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,5.4,,,,,,,,,,,,,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,7.5,,,,,,,,,,,,,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,10.5,,,,,,,,,,,,,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,14.8,,,,,,,,,,,,,
